FlightDate,Reporting_Airline,FlightNum,TailNum,Origin,Dest,CRSDepHour,CRSDepMinute,CRSElapsedTime,Distance,DayOfWeek,Month,Season,DepDelayMinutes,ArrDelayMinutes,IsDelayed15,Cancelled,DelayCause
2023-12-30,AS,5634,N214H,LAS,BOS,8,30,215,1715,5,12,Winter,-0.0,4.0,0.0,0,
2023-02-24,AA,4156,N405A,SEA,DFW,9,15,297,2210,4,2,Winter,1.0,-16.0,0.0,0,
2023-09-01,NK,335,N130A,EWR,MIA,10,30,227,1623,4,9,Fall,2.0,-8.0,0.0,0,
2023-11-16,AA,5670,N772C,MIA,CLT,9,45,115,826,3,11,Fall,-9.0,-11.0,0.0,0,
2023-05-11,UA,5376,N812F,DEN,JFK,7,30,225,1818,3,5,Spring,-1.0,-8.0,0.0,0,
2023-11-03,AS,5618,N335D,ORD,SFO,9,30,171,1299,4,11,Fall,-9.0,-33.0,0.0,0,
2023-05-15,NK,2921,N159D,SEA,JFK,8,30,244,1892,0,5,Spring,-2.0,-4.0,0.0,0,
2023-01-21,AS,151,N799D,MCO,PHX,7,45,365,2710,5,1,Winter,-8.0,-10.0,0.0,0,
2023-11-25,WN,547,N458G,BOS,LAX,5,30,258,1810,5,11,Fall,-8.0,-10.0,0.0,0,
2023-06-16,AA,1627,N894E,LAX,JFK,9,15,70,501,4,6,Summer,2.0,1.0,0.0,0,
2023-10-01,AS,409,N527A,SFO,DEN,5,30,215,1617,6,10,Fall,-12.0,-13.0,0.0,0,
2023-03-30,F9,605,N486A,PHX,EWR,8,30,345,2556,3,3,Spring,1.0,11.0,0.0,0,
2023-11-12,DL,3047,N666D,CLT,DEN,9,30,58,491,6,11,Fall,-1.0,-10.0,0.0,0,
2023-01-14,B6,2444,N395D,LAX,DFW,9,15,202,1522,5,1,Winter,-2.0,13.0,0.0,0,
2023-08-30,UA,3057,N774H,SEA,ORD,5,45,273,2035,2,8,Summer,-1.0,-1.0,0.0,0,
2023-09-22,B6,1672,N154C,DEN,JFK,5,45,367,2706,4,9,Fall,2.0,-3.0,0.0,0,
2023-12-12,F9,5997,N887A,ORD,JFK,8,0,275,2120,1,12,Winter,32.0,28.0,1.0,0,NAS
2023-02-22,UA,1912,N117E,MIA,DEN,6,30,212,1457,2,2,Winter,-5.0,-24.0,0.0,0,
2023-12-06,UA,475,N265A,BOS,CLT,4,15,247,1734,2,12,Winter,46.0,43.0,1.0,0,Weather
2023-04-02,DL,669,N720H,SEA,BOS,8,45,127,871,6,4,Spring,-4.0,-9.0,0.0,0,
2023-09-21,AA,462,N891C,ORD,MCO,7,15,282,2102,3,9,Fall,-0.0,-5.0,0.0,0,
2023-02-04,WN,5887,N883G,LAS,SEA,7,30,322,2363,5,2,Winter,-10.0,-16.0,0.0,0,
2023-07-25,NK,4489,N712E,CLT,ORD,6,30,66,491,1,7,Summer,30.0,22.0,1.0,0,NAS
2023-03-22,AA,2839,N595G,MCO,DEN,8,0,125,875,2,3,Spring,-3.0,-1.0,0.0,0,
2023-02-19,B6,3442,N602G,DFW,MIA,7,45,302,2230,6,2,Winter,-1.0,5.0,0.0,0,
2023-12-26,AA,1026,N954E,LAS,JFK,6,0,47,391,1,12,Winter,-8.0,4.0,0.0,0,
2023-01-02,B6,3582,N302F,DEN,SFO,8,45,224,1792,0,1,Winter,-3.0,-19.0,0.0,0,
2023-02-23,AS,298,N208C,MIA,SEA,7,0,15,211,3,2,Winter,-3.0,-7.0,0.0,0,
2023-04-16,AS,895,N869H,LAS,CLT,8,30,129,1020,6,4,Spring,1.0,4.0,0.0,0,
2023-09-17,WN,1312,N476A,CLT,ORD,8,45,99,763,6,9,Fall,-0.0,-4.0,0.0,0,
2023-11-06,F9,3331,N461B,DFW,LAX,8,15,56,410,0,11,Fall,-5.0,-14.0,0.0,0,
2023-07-10,WN,3136,N581F,LAX,LAS,10,30,209,1464,0,7,Summer,-1.0,-5.0,0.0,0,
2023-08-06,AS,2882,N280G,LAX,SEA,9,30,317,2388,6,8,Summer,1.0,0.0,0.0,0,
2023-02-13,UA,3106,N982C,JFK,LAX,11,15,181,1309,0,2,Winter,5.0,3.0,0.0,0,
2023-06-11,AA,1224,N678D,LAX,CLT,5,30,274,2000,6,6,Summer,5.0,11.0,0.0,0,
2023-07-21,DL,777,N232H,SEA,LAX,8,30,269,2066,4,7,Summer,-5.0,-9.0,0.0,0,
2023-09-27,AS,1153,N112A,CLT,DEN,8,30,303,2287,2,9,Fall,-12.0,-20.0,0.0,0,
2023-12-17,DL,4769,N995D,LAS,DEN,6,30,371,2786,6,12,Winter,5.0,4.0,0.0,0,
2023-10-31,F9,126,N740G,SEA,DEN,8,15,307,2303,1,10,Fall,-2.0,2.0,0.0,0,
2023-09-28,WN,5848,N603D,SEA,LAS,9,15,334,2561,3,9,Fall,-1.0,1.0,0.0,0,
2023-08-03,WN,2764,N899D,LAS,ORD,7,45,320,2412,3,8,Summer,2.0,-7.0,0.0,0,
2023-09-09,NK,1878,N540B,SEA,PHX,7,45,343,2558,5,9,Fall,-1.0,0.0,0.0,0,
2023-07-09,B6,4800,N791B,MCO,ATL,7,30,312,2250,6,7,Summer,-5.0,-8.0,0.0,0,
2023-10-23,AA,3482,N287C,LAX,CLT,12,0,241,1823,0,10,Fall,27.0,24.0,1.0,0,Weather
2023-08-01,AS,4445,N315B,LAX,JFK,6,45,56,401,1,8,Summer,-7.0,-19.0,0.0,0,
2023-07-27,B6,5432,N727F,DFW,SEA,8,45,231,1692,3,7,Summer,4.0,1.0,0.0,0,
2023-08-25,UA,2170,N701D,ORD,SEA,8,0,343,2519,4,8,Summer,-9.0,-22.0,0.0,0,
2023-12-04,AS,775,N123G,ATL,JFK,9,0,179,1307,0,12,Winter,6.0,3.0,0.0,0,
2023-02-22,AA,3449,N365G,DEN,EWR,9,15,166,1230,2,2,Winter,37.0,39.0,1.0,0,Weather
2023-10-07,F9,2927,N412C,JFK,SEA,10,0,336,2521,5,10,Fall,-3.0,4.0,0.0,0,
2023-08-05,NK,1761,N517A,LAX,BOS,9,30,59,508,5,8,Summer,-9.0,1.0,0.0,0,
2023-09-09,F9,3180,N450C,BOS,EWR,7,45,136,970,5,9,Fall,-3.0,-10.0,0.0,0,
2023-07-07,AS,5827,N187D,MIA,MCO,7,45,125,847,4,7,Summer,65.0,71.0,1.0,0,Weather
2023-02-10,WN,5692,N300C,EWR,LAS,9,30,252,1942,4,2,Winter,-4.0,-3.0,0.0,0,
2023-06-06,WN,5732,N469H,CLT,PHX,7,15,346,2634,1,6,Summer,7.0,-3.0,0.0,0,
2023-01-15,AA,699,N139C,DFW,JFK,6,15,326,2416,6,1,Winter,-1.0,-3.0,0.0,0,
2023-10-28,UA,331,N952G,MCO,PHX,10,15,306,2405,5,10,Fall,-7.0,-9.0,0.0,0,
2023-03-06,B6,5433,N679D,PHX,BOS,6,0,140,1070,0,3,Spring,-1.0,0.0,0.0,0,
2023-12-11,UA,922,N664D,DEN,MIA,9,0,340,2592,0,12,Winter,-10.0,-26.0,0.0,0,
2023-11-23,AS,4930,N669D,DFW,JFK,8,30,248,1926,3,11,Fall,-9.0,-5.0,0.0,0,
2023-01-09,DL,5480,N414A,EWR,MIA,7,15,156,1145,0,1,Winter,60.0,67.0,1.0,0,Weather
2023-12-10,AA,1949,N664A,SEA,DEN,5,0,310,2258,6,12,Winter,-1.0,17.0,1.0,0,Weather
2023-05-09,WN,2580,N633A,BOS,PHX,5,0,116,852,1,5,Spring,3.0,3.0,0.0,0,
2023-05-16,DL,1880,N887B,SEA,ORD,6,0,198,1481,1,5,Spring,-8.0,-18.0,0.0,0,
2023-03-04,UA,2094,N786B,MIA,ORD,8,15,223,1692,5,3,Spring,-4.0,17.0,1.0,0,Carrier
2023-05-19,UA,3873,N515E,PHX,LAX,7,30,55,407,4,5,Spring,-0.0,-16.0,0.0,0,
2023-03-22,WN,2573,N779G,JFK,ORD,7,30,102,766,2,3,Spring,7.0,12.0,0.0,0,
2023-06-12,DL,1968,N486E,EWR,DFW,8,30,65,469,0,6,Summer,26.0,40.0,1.0,0,Security
2023-10-16,F9,143,N468D,ORD,BOS,11,0,259,2055,0,10,Fall,153.0,135.0,1.0,0,LateAircraft
2023-09-18,AS,1600,N897A,EWR,MIA,8,0,122,827,0,9,Fall,-12.0,-5.0,0.0,0,
2023-08-19,NK,2237,N690D,SFO,DFW,9,0,91,690,5,8,Summer,-9.0,-5.0,0.0,0,
2023-02-10,UA,2408,N589H,LAX,DFW,8,30,175,1350,4,2,Winter,60.0,54.0,1.0,0,NAS
2023-01-28,NK,1317,N127B,EWR,MIA,8,30,30,236,5,1,Winter,-6.0,-15.0,0.0,0,
2023-05-15,F9,2913,N212F,LAS,BOS,7,45,238,1844,0,5,Spring,42.0,26.0,1.0,0,Carrier
2023-07-20,B6,1884,N712G,CLT,LAX,10,0,260,2034,3,7,Summer,4.0,-5.0,0.0,0,
2023-11-24,B6,1852,N746E,DFW,CLT,6,45,317,2321,4,11,Fall,4.0,8.0,0.0,0,
2023-09-25,B6,5741,N190H,MCO,ORD,8,30,237,1768,0,9,Fall,-1.0,-5.0,0.0,0,
2023-02-02,NK,4834,N449H,DFW,EWR,9,30,363,2784,3,2,Winter,-9.0,-2.0,0.0,0,
2023-02-17,DL,3141,N970G,MIA,LAS,8,30,57,407,4,2,Winter,-4.0,-1.0,0.0,0,
2023-03-03,WN,5124,N732G,EWR,DFW,8,45,339,2575,4,3,Spring,-14.0,-26.0,0.0,0,
2023-08-04,NK,4045,N571G,MCO,ATL,7,15,304,2289,4,8,Summer,-6.0,3.0,0.0,0,
2023-10-20,AA,1787,N216E,DFW,MCO,6,45,216,1495,4,10,Fall,4.0,6.0,0.0,0,
2023-04-09,B6,1709,N817G,SEA,LAX,7,0,85,561,6,4,Spring,123.0,115.0,1.0,0,Carrier
2023-06-21,AS,5208,N882G,LAS,PHX,7,30,351,2673,2,6,Summer,-7.0,-1.0,0.0,0,
2023-12-26,WN,2988,N252C,SFO,DFW,7,30,49,342,1,12,Winter,46.0,33.0,1.0,0,NAS
2023-08-02,UA,2698,N967C,DFW,CLT,9,15,238,1835,2,8,Summer,-2.0,-7.0,0.0,0,
2023-02-04,AA,4092,N870D,JFK,PHX,5,15,189,1393,5,2,Winter,-1.0,1.0,0.0,0,
2023-08-15,UA,3309,N513B,BOS,CLT,7,15,119,923,1,8,Summer,-6.0,-8.0,0.0,0,
2023-04-11,F9,4842,N969E,SFO,ATL,9,30,75,666,1,4,Spring,90.0,85.0,1.0,0,LateAircraft
2023-05-11,AS,4423,N788A,PHX,ORD,10,0,317,2366,3,5,Spring,-4.0,-3.0,0.0,0,
2023-09-14,DL,4865,N634G,SEA,CLT,7,0,362,2711,3,9,Fall,62.0,56.0,1.0,0,LateAircraft
2023-01-05,AS,4680,N338B,SFO,MCO,6,30,277,2058,3,1,Winter,-8.0,-20.0,0.0,0,
2023-08-06,NK,5473,N307C,ATL,SEA,8,15,342,2631,6,8,Summer,22.0,18.0,1.0,0,Carrier
2023-09-12,NK,5922,N462A,DEN,EWR,7,30,129,1051,1,9,Fall,-9.0,-23.0,0.0,0,
2023-12-25,DL,5078,N882B,CLT,DFW,8,15,308,2358,0,12,Winter,-9.0,-28.0,0.0,0,
2023-10-10,NK,3577,N693H,DFW,DEN,8,45,316,2302,1,10,Fall,-3.0,-3.0,0.0,0,
2023-07-26,DL,2763,N980G,BOS,MCO,6,0,48,303,2,7,Summer,27.0,16.0,1.0,0,Carrier
2023-01-15,WN,2451,N198E,SFO,LAS,4,45,88,596,6,1,Winter,66.0,68.0,1.0,0,Weather
2023-12-12,UA,5820,N702A,DFW,ATL,7,0,144,1128,1,12,Winter,173.0,172.0,1.0,0,NAS
2023-02-11,NK,359,N123H,EWR,LAS,5,15,225,1720,5,2,Winter,-1.0,-1.0,0.0,0,
2023-06-28,DL,2092,N764C,DEN,CLT,8,30,355,2673,2,6,Summer,1.0,-5.0,0.0,0,
2023-03-04,DL,3216,N707F,SFO,LAS,5,0,179,1221,5,3,Spring,-10.0,-11.0,0.0,0,
2023-12-18,DL,3505,N477E,MIA,LAX,9,45,292,2136,0,12,Winter,41.0,43.0,1.0,0,Carrier
2023-08-19,UA,2810,N435C,BOS,PHX,8,45,299,2168,5,8,Summer,-9.0,2.0,0.0,0,
2023-08-29,DL,2998,N472H,MIA,EWR,9,30,248,1722,1,8,Summer,45.0,41.0,1.0,0,LateAircraft
2023-02-21,AA,4386,N858C,LAX,MCO,7,45,300,2253,1,2,Winter,25.0,28.0,1.0,0,NAS
2023-04-06,UA,208,N218H,MCO,DFW,7,45,330,2502,3,4,Spring,-5.0,-10.0,0.0,0,
2023-08-10,NK,2005,N941F,CLT,PHX,7,0,194,1483,3,8,Summer,-7.0,-3.0,0.0,0,
2023-08-19,DL,5542,N818E,JFK,DFW,8,15,306,2276,5,8,Summer,-2.0,-10.0,0.0,0,
2023-08-25,NK,5952,N572E,JFK,EWR,9,30,193,1429,4,8,Summer,3.0,-13.0,0.0,0,
2023-05-23,NK,3131,N990C,EWR,DFW,7,30,180,1401,1,5,Spring,-6.0,-15.0,0.0,0,
2023-06-20,UA,4689,N793A,DFW,ORD,7,0,22,235,1,6,Summer,-3.0,-15.0,0.0,0,
2023-01-29,B6,3588,N114E,SFO,SEA,7,15,138,921,6,1,Winter,74.0,81.0,1.0,0,Carrier
2023-02-05,AA,5713,N578B,SFO,PHX,7,45,263,2000,6,2,Winter,-8.0,-6.0,0.0,0,
2023-01-13,AS,4956,N423F,DFW,LAS,7,30,72,549,4,1,Winter,3.0,-15.0,0.0,0,
2023-06-09,UA,1918,N169A,LAS,CLT,5,0,208,1527,4,6,Summer,-0.0,8.0,0.0,0,
2023-11-23,AA,3713,N349A,CLT,SFO,8,0,323,2443,3,11,Fall,-2.0,-15.0,0.0,0,
2023-07-06,WN,2789,N565D,DFW,PHX,6,0,29,224,3,7,Summer,7.0,5.0,0.0,0,
2023-08-31,DL,3168,N536E,MCO,SFO,6,30,363,2742,3,8,Summer,5.0,5.0,0.0,0,
2023-03-27,AS,4296,N149E,MCO,SEA,8,45,360,2735,0,3,Spring,40.0,47.0,1.0,0,Weather
2023-10-11,WN,5816,N459G,MIA,BOS,8,45,233,1735,2,10,Fall,-8.0,-15.0,0.0,0,
2023-03-07,AS,4301,N698A,DFW,MCO,7,30,252,1904,1,3,Spring,-9.0,-9.0,0.0,0,
2023-06-19,WN,2494,N617A,ATL,DFW,9,45,317,2429,0,6,Summer,-11.0,-5.0,0.0,0,
2023-02-14,WN,1651,N816A,CLT,DFW,11,15,219,1612,1,2,Winter,,,,1,
2023-03-03,UA,3801,N442G,SEA,JFK,9,15,164,1073,4,3,Spring,-2.0,-0.0,0.0,0,
2023-05-14,AS,2659,N733G,ORD,MCO,3,30,282,2062,6,5,Spring,0.0,-6.0,0.0,0,
2023-10-11,F9,4457,N886D,JFK,EWR,7,0,165,1219,2,10,Fall,6.0,-16.0,0.0,0,
2023-01-28,NK,5591,N896D,SFO,JFK,8,15,235,1703,5,1,Winter,-5.0,-19.0,0.0,0,
2023-04-18,AS,5303,N189E,MCO,LAX,6,30,244,1770,1,4,Spring,84.0,83.0,1.0,0,NAS
2023-02-13,AS,776,N626H,CLT,JFK,10,30,328,2483,0,2,Winter,2.0,-7.0,0.0,0,
2023-12-06,NK,3460,N827E,ATL,SFO,11,0,343,2552,2,12,Winter,-7.0,-23.0,0.0,0,
2023-10-13,NK,221,N353F,LAS,ATL,7,45,249,1837,4,10,Fall,-6.0,-5.0,0.0,0,
2023-11-27,AA,4774,N823H,EWR,MIA,6,0,331,2457,0,11,Fall,2.0,-6.0,0.0,0,
2023-05-08,F9,5976,N645F,MIA,SFO,7,15,92,694,0,5,Spring,-2.0,-8.0,0.0,0,
2023-12-14,DL,4868,N538D,MCO,SEA,5,0,267,2004,3,12,Winter,-5.0,-21.0,0.0,0,
2023-08-19,UA,2259,N965D,MIA,LAS,5,0,264,1923,5,8,Summer,-13.0,-4.0,0.0,0,
2023-07-09,DL,1471,N451G,ATL,LAX,8,45,199,1502,6,7,Summer,-6.0,-23.0,0.0,0,
2023-08-13,F9,458,N809F,SFO,PHX,7,15,148,1092,6,8,Summer,-7.0,5.0,0.0,0,
2023-10-10,AS,1775,N100A,LAS,DFW,8,15,144,1054,1,10,Fall,7.0,7.0,0.0,0,
2023-05-01,AA,1056,N971F,DEN,LAX,5,45,311,2286,0,5,Spring,-11.0,-7.0,0.0,0,
2023-04-26,WN,716,N859D,ORD,ATL,8,45,62,394,2,4,Spring,5.0,-4.0,0.0,0,
2023-08-21,F9,2270,N473H,MCO,JFK,10,30,113,879,0,8,Summer,-2.0,-6.0,0.0,0,
2023-09-16,B6,4356,N478A,SFO,LAS,8,30,289,2111,5,9,Fall,-6.0,-17.0,0.0,0,
2023-12-25,F9,550,N216G,LAS,DEN,8,0,298,2173,0,12,Winter,-2.0,-4.0,0.0,0,
2023-07-17,DL,340,N283D,MCO,DFW,6,30,317,2407,0,7,Summer,-14.0,-25.0,0.0,0,
2023-05-17,UA,2860,N295B,JFK,PHX,7,45,205,1539,2,5,Spring,1.0,-2.0,0.0,0,
2023-11-14,WN,5505,N147E,EWR,BOS,8,15,340,2564,1,11,Fall,39.0,38.0,1.0,0,NAS
2023-06-14,AS,1169,N288C,LAS,SEA,10,15,106,841,2,6,Summer,-12.0,-11.0,0.0,0,
2023-08-13,DL,5146,N782A,DEN,ORD,7,45,323,2392,6,8,Summer,23.0,17.0,1.0,0,Carrier
2023-11-03,UA,600,N354G,LAS,EWR,9,45,254,1882,4,11,Fall,124.0,139.0,1.0,0,LateAircraft
2023-08-22,DL,4572,N225H,ORD,LAX,8,45,84,475,1,8,Summer,-1.0,-26.0,0.0,0,
2023-06-21,F9,5916,N418A,SFO,CLT,6,45,136,1078,2,6,Summer,32.0,37.0,1.0,0,NAS
2023-06-01,F9,3198,N306B,DEN,MCO,6,15,82,646,3,6,Summer,-1.0,-14.0,0.0,0,
2023-11-11,F9,2584,N848G,DEN,CLT,7,0,167,1337,5,11,Fall,17.0,4.0,0.0,0,
2023-06-09,NK,4416,N533B,DFW,MIA,7,0,247,1826,4,6,Summer,4.0,4.0,0.0,0,
2023-04-06,NK,3038,N153F,ORD,MIA,7,0,312,2448,3,4,Spring,1.0,-2.0,0.0,0,
2023-08-21,NK,4431,N305E,DEN,LAS,9,45,295,2217,0,8,Summer,-9.0,-2.0,0.0,0,
2023-06-29,NK,4317,N757B,EWR,BOS,8,30,213,1559,3,6,Summer,-8.0,5.0,0.0,0,
2023-04-23,B6,3700,N271C,ORD,PHX,6,15,265,2099,6,4,Spring,4.0,11.0,0.0,0,
2023-11-14,UA,3694,N881D,DFW,SEA,8,0,185,1407,1,11,Fall,-1.0,2.0,0.0,0,
2023-02-21,UA,1405,N296F,EWR,DFW,8,45,200,1605,1,2,Winter,62.0,62.0,1.0,0,Weather
2023-09-25,AS,3471,N436F,BOS,SFO,8,15,296,2227,0,9,Fall,2.0,-2.0,0.0,0,
2023-10-22,UA,2473,N841D,MIA,DEN,5,45,85,699,6,10,Fall,0.0,-13.0,0.0,0,
2023-04-23,AA,1850,N331B,CLT,BOS,6,0,203,1545,6,4,Spring,-1.0,-7.0,0.0,0,
2023-04-11,DL,110,N460D,EWR,SFO,11,0,293,2203,1,4,Spring,-5.0,-15.0,0.0,0,
2023-04-23,AA,1653,N725B,ATL,CLT,9,45,52,451,6,4,Spring,-3.0,-6.0,0.0,0,
2023-03-22,DL,4450,N371D,JFK,MIA,6,0,40,360,2,3,Spring,0.0,12.0,0.0,0,
2023-07-06,B6,4105,N586F,PHX,ORD,8,0,256,1971,3,7,Summer,-14.0,-13.0,0.0,0,
2023-04-23,AS,2226,N167C,LAS,BOS,6,0,208,1532,6,4,Spring,-3.0,-1.0,0.0,0,
2023-01-02,DL,5455,N513D,LAS,ORD,7,0,298,2308,0,1,Winter,-2.0,-9.0,0.0,0,
2023-05-10,NK,2953,N876D,BOS,SFO,8,45,104,740,2,5,Spring,-3.0,2.0,0.0,0,
2023-08-08,WN,566,N666G,MIA,JFK,5,0,330,2381,1,8,Summer,-7.0,-17.0,0.0,0,
2023-02-23,B6,5721,N656H,CLT,MIA,8,30,346,2561,3,2,Winter,-6.0,-5.0,0.0,0,
2023-12-09,UA,969,N465D,DEN,EWR,6,0,365,2735,5,12,Winter,-5.0,4.0,0.0,0,
2023-08-12,AS,1669,N548E,LAS,BOS,8,30,331,2536,5,8,Summer,-6.0,0.0,0.0,0,
2023-08-13,UA,2882,N289F,MIA,DEN,7,30,161,1185,6,8,Summer,-3.0,-21.0,0.0,0,
2023-05-06,NK,2838,N540H,MCO,SEA,8,0,83,542,5,5,Spring,-6.0,-8.0,0.0,0,
2023-05-10,B6,3412,N203D,MCO,ATL,9,0,220,1724,2,5,Spring,-9.0,-24.0,0.0,0,
2023-02-22,NK,3835,N542A,BOS,SFO,9,30,312,2395,2,2,Winter,4.0,13.0,0.0,0,
2023-06-21,AA,363,N419E,DFW,MIA,8,0,139,1212,2,6,Summer,-11.0,-12.0,0.0,0,
2023-08-06,F9,2980,N954A,JFK,DFW,6,0,206,1533,6,8,Summer,61.0,54.0,1.0,0,Carrier
2023-06-09,UA,5378,N234D,PHX,LAS,7,15,293,2154,4,6,Summer,-3.0,-10.0,0.0,0,
2023-07-17,DL,4195,N837F,EWR,CLT,8,45,116,830,0,7,Summer,-3.0,-14.0,0.0,0,
2023-09-04,UA,4266,N411F,DEN,SFO,7,0,100,746,0,9,Fall,1.0,9.0,0.0,0,
2023-11-20,UA,1952,N276G,MIA,EWR,6,30,350,2659,0,11,Fall,-1.0,10.0,0.0,0,
2023-07-22,DL,5877,N207G,DEN,DFW,7,0,222,1677,5,7,Summer,0.0,-4.0,0.0,0,
2023-07-03,NK,3732,N205A,LAX,DEN,6,30,345,2595,0,7,Summer,-2.0,-3.0,0.0,0,
2023-05-03,UA,3964,N773B,SEA,ATL,9,45,33,278,2,5,Spring,-9.0,3.0,0.0,0,
2023-09-12,DL,4013,N567G,ATL,LAS,7,0,20,259,1,9,Fall,-2.0,-4.0,0.0,0,
2023-10-21,UA,3430,N215D,MIA,BOS,6,0,111,805,5,10,Fall,-7.0,-7.0,0.0,0,
2023-10-07,F9,5261,N863D,SFO,CLT,8,15,161,1200,5,10,Fall,-1.0,1.0,0.0,0,
2023-11-21,WN,3805,N573H,LAX,MIA,10,15,142,1147,1,11,Fall,-6.0,-25.0,0.0,0,
2023-04-08,NK,1989,N323A,SFO,SEA,9,45,296,2211,5,4,Spring,-10.0,-12.0,0.0,0,
2023-07-17,DL,4563,N308B,SFO,EWR,7,45,362,2670,0,7,Summer,37.0,26.0,1.0,0,Carrier
2023-08-28,AS,3602,N743B,LAS,MIA,7,0,121,917,0,8,Summer,-2.0,3.0,0.0,0,
2023-05-24,F9,1110,N574A,ATL,LAX,7,15,273,2090,2,5,Spring,-6.0,-11.0,0.0,0,
2023-04-07,AS,850,N988H,JFK,MCO,10,15,373,2712,4,4,Spring,-8.0,-9.0,0.0,0,
2023-07-20,AS,220,N383F,JFK,DFW,6,30,231,1683,3,7,Summer,-5.0,-30.0,0.0,0,
2023-05-04,AS,392,N234E,ATL,SFO,8,15,300,2254,3,5,Spring,-2.0,-9.0,0.0,0,
2023-07-06,UA,312,N917D,MIA,DFW,10,15,280,2123,3,7,Summer,,,,1,
2023-11-22,AA,1611,N915H,SFO,CLT,8,30,62,432,2,11,Fall,4.0,-13.0,0.0,0,
2023-12-15,WN,4475,N194A,DEN,LAX,8,30,207,1531,4,12,Winter,3.0,-7.0,0.0,0,
2023-09-16,AS,4521,N361E,SEA,EWR,5,45,95,575,5,9,Fall,-1.0,3.0,0.0,0,
2023-05-28,NK,5039,N677C,JFK,MCO,9,45,58,495,6,5,Spring,0.0,-13.0,0.0,0,
2023-09-09,AS,1148,N129F,MCO,EWR,8,45,286,2199,5,9,Fall,-9.0,-2.0,0.0,0,
2023-12-12,WN,5134,N346C,MCO,LAS,7,45,234,1738,1,12,Winter,2.0,11.0,0.0,0,
2023-05-27,AA,5389,N270C,MCO,DEN,10,45,121,884,5,5,Spring,133.0,112.0,1.0,0,LateAircraft
2023-05-28,AS,4230,N321E,DEN,LAX,6,30,36,258,6,5,Spring,-1.0,-6.0,0.0,0,
2023-12-18,F9,1679,N915A,PHX,MIA,8,0,228,1695,0,12,Winter,-7.0,-10.0,0.0,0,
2023-07-18,F9,1203,N475G,SFO,MIA,7,0,208,1551,1,7,Summer,32.0,29.0,1.0,0,NAS
2023-11-04,WN,3583,N322A,DEN,SFO,8,0,184,1381,5,11,Fall,64.0,58.0,1.0,0,LateAircraft
